Scenario_ID,Description,Gen_H_Amount,Market_Average,Gen_H_Rank,Total_Lenders,Accord,Atom,Barclays,Clydesdale,Coventry,Gen H,HSBC,Halifax,Kensington,Leeds,Metro,Nationwide,Newcastle,Nottingham,Precise,Principality,Santander,Skipton
joint_employed_60k,"Joint applicants, employed, £60k total",330000,295883,1,18,300000,330000,300000,298000,300000,330000,285000,330000,269400,300000,267000,269400,300000,269400,284900,262809,300000,330000
joint_self_employed_60k,"Joint applicants, self-employed, £60k total",330000,263138,1,18,262500,235725,262500,260500,300000,330000,249350,235725,269400,262500,233625,235800,262500,269400,284900,230823,262500,288750
single_employed_80k,"Sole applicant, employed, £80k",440000,398259,2,17,400000,462745,440000,438000,400000,440000,380000,440000,359200,400000,356000,359200,400000,359200,379900,356172,400000,0
single_self_employed_80k,"Sole applicant, self-employed, £80k",440000,315641,1,17,300000,269400,300000,298000,400000,440000,285000,269400,359200,300000,267000,269400,300000,359200,379900,269400,300000,0
joint_employed_80k,"Joint applicants, employed, £80k total",440000,398800,2,17,400000,480000,440000,438000,400000,440000,380000,440000,359200,400000,356000,359200,400000,359200,379900,348107,400000,0
joint_self_employed_80k,"Joint applicants, self-employed, £80k total",440000,348744,1,17,350000,314300,350000,348000,400000,440000,332500,314300,359200,350000,311500,314300,350000,359200,379900,305458,350000,0
single_employed_100k,"Sole applicant, employed, £100k",550000,517073,3,17,500000,598983,550000,548000,500000,550000,550000,550000,600000,500000,485182,449000,500000,449000,474900,435188,550000,0
single_self_employed_100k,"Sole applicant, self-employed, £100k",550000,410109,2,17,375000,412500,412500,373000,500000,550000,356250,336750,600000,375000,333750,336800,375000,449000,474900,336418,375000,0
joint_employed_100k,"Joint applicants, employed, £100k total",550000,519973,3,17,500000,600000,550000,548000,500000,550000,550000,550000,600000,500000,535242,449000,500000,449000,474900,433406,550000,0
joint_self_employed_100k,"Joint applicants, self-employed, £100k total",550000,452514,2,17,437500,392875,481250,435500,500000,550000,415600,481250,600000,437500,389375,392900,437500,449000,474900,380094,437500,0
joint_employed_120k,"Joint applicants, employed, £120k total",660000,621972,3,17,600000,720000,660000,658000,600000,660000,660000,660000,720000,600000,633577,538800,600000,538800,569900,494452,660000,0
joint_self_employed_120k,"Joint applicants, self-employed, £120k total",660000,562694,2,17,525000,577500,577500,523000,600000,660000,577500,577500,720000,525000,577500,471500,525000,538800,569900,442604,577500,0
joint_employed_160k,"Joint applicants, employed, £160k total",880000,827203,3,17,800000,960000,880000,850000,800000,880000,850000,880000,960000,800000,828976,718400,800000,880000,759900,615188,800000,0
joint_self_employed_160k,"Joint applicants, self-employed, £160k total",880000,756548,2,17,700000,770000,770000,698000,800000,880000,770000,770000,960000,700000,770000,628600,700000,880000,759900,554820,750000,0
joint_employed_200k,"Joint applicants, employed, £200k total",1000000,988129,6,17,1000000,1200000,950000,950000,1000000,1000000,850000,1100000,1200000,1000000,1024375,898000,950000,1100000,949900,735924,890000,0
joint_self_employed_200k,"Joint applicants, self-employed, £200k total",1000000,925392,3,17,875000,962500,950000,873000,1000000,1000000,850000,962500,1200000,875000,962500,785800,875000,1100000,949900,660464,850000,0
